TOWNCODE,COUNTYNAME,TOWNNAME,households,population,male,female,high_count,medium_count,low_count,safe_count,high_capacity,medium_capacity,low_capacity,safe_capacity,risk_capacity,required_safe_capacity,capacity_gap,gap_flag
67000110,臺南市,大內區,3663,8412,4508,3904,2,5,0,0,80,1100,0,0,1180,1682.4,1682.4,True
67000240,臺南市,楠西區,3554,8359,4409,3950,3,2,0,0,760,730,0,0,1490,1671.8,1671.8,True
10004090,新竹縣,北埔鄉,3184,8281,4521,3760,7,2,0,0,2760,115,0,0,2875,1656.2,1656.2,True
10014030,臺東縣,關山鎮,3238,7749,3973,3776,4,6,0,0,400,890,0,0,1290,1549.8,1549.8,True
10013230,屏東縣,車城鄉,3544,7664,4078,3586,5,1,0,0,789,100,0,0,889,1532.8,1532.8,True
09007010,連江縣,南竿鄉,2386,7636,4317,3319,0,0,0,7,0,0,0,0,0,1527.2,1527.2,True
10010060,嘉義縣,溪口鄉,5321,12566,6750,5816,1,5,2,1,250,1105,290,1000,1645,2513.2,1513.1999999999998,True
10013220,屏東縣,琉球鄉,5227,12065,6523,5542,0,0,0,6,0,0,0,900,0,2413.0,1513.0,True
67000250,臺南市,南化區,2832,7563,4066,3497,7,1,1,0,660,110,80,0,850,1512.6,1512.6,True
10014060,臺東縣,池上鄉,3190,7512,3832,3680,5,4,7,0,450,340,1100,0,1890,1502.4,1502.4,True
65000250,新北市,雙溪區,3516,7415,4033,3382,12,0,0,0,4813,0,0,0,4813,1483.0,1483.0,True
10013300,屏東縣,來義鄉,2376,7275,3591,3684,3,3,0,0,400,300,0,0,700,1455.0,1455.0,True
10013260,屏東縣,三地門鄉,2468,7579,3777,3802,7,4,2,2,630,250,120,70,1000,1515.8,1445.8,True
10014050,臺東縣,鹿野鄉,3038,6942,3656,3286,7,5,5,0,370,130,190,0,690,1388.4,1388.4,True
10013240,屏東縣,滿州鄉,2989,6920,3738,3182,13,0,0,0,910,0,0,0,910,1384.0,1384.0,True
65000190,新北市,石碇區,3321,6891,3757,3134,4,1,1,0,1602,100,299,0,2001,1378.2,1378.2,True
67000220,臺南市,山上區,2784,6772,3588,3184,5,4,0,0,1200,1450,0,0,2650,1354.4,1354.4,True
10014080,臺東縣,長濱鄉,2941,6440,3555,2885,13,2,4,0,1430,170,420,0,2020,1288.0,1288.0,True
10008130,南投縣,仁愛鄉,4958,15314,7884,7430,7,5,2,15,1130,800,140,1790,2070,3062.8,1272.8000000000002,True
10002120,宜蘭縣,南澳鄉,2191,6197,3126,3071,9,4,0,0,478,146,0,0,624,1239.4,1239.4,True
65000290,新北市,烏來區,1912,6180,3001,3179,7,0,0,0,647,0,0,0,647,1236.0,1236.0,True
65000200,新北市,坪林區,2553,6143,3297,2846,6,1,0,0,1590,10,0,0,1600,1228.6,1228.6,True
64000220,高雄市,田寮區,2953,6104,3376,2728,4,0,0,0,270,0,0,0,270,1220.8,1220.8,True
10002110,宜蘭縣,大同鄉,2081,5968,3205,2763,5,2,1,0,478,173,92,0,743,1193.6,1193.6,True
10013280,屏東縣,瑪家鄉,2318,6651,3310,3341,1,1,0,1,158,148,0,150,306,1330.2,1180.2,True
10005140,苗栗縣,西湖鄉,2584,5868,3326,2542,5,0,0,0,700,0,0,0,700,1173.6,1173.6,True
10015130,花蓮縣,卓溪鄉,1747,5838,3146,2692,10,0,3,0,600,0,192,0,792,1167.6,1167.6,True
10014070,臺東縣,東河鄉,3664,7702,4185,3517,5,2,0,3,861,100,0,385,961,1540.4,1155.4,True
10005160,苗栗縣,三灣鄉,2292,5648,3097,2551,8,0,0,0,760,0,0,0,760,1129.6,1129.6,True
10009110,雲林縣,二崙鄉,9461,24098,12889,11209,0,1,1,5,0,500,200,3700,700,4819.6,1119.6000000000004,True
10015120,花蓮縣,萬榮鄉,2192,6049,3155,2894,0,4,2,1,0,280,150,100,430,1209.8,1109.8,True
10014100,臺東縣,大武鄉,2486,5304,2773,2531,9,0,0,0,1600,0,0,0,1600,1060.8,1060.8,True
64000330,高雄市,甲仙區,2294,5253,2761,2492,10,1,0,0,2241,80,0,0,2321,1050.6,1050.6,True
10013290,屏東縣,泰武鄉,1530,5187,2650,2537,5,1,0,0,900,100,0,0,1000,1037.4,1037.4,True
10004110,新竹縣,峨眉鄉,2121,4970,2730,2240,8,1,0,0,4662,75,0,0,4737,994.0,994.0,True
10013250,屏東縣,枋山鄉,2040,4925,2558,2367,5,2,0,0,390,140,0,0,530,985.0,985.0,True
10005180,苗栗縣,泰安鄉,1975,5412,2924,2488,7,3,2,1,690,400,200,110,1290,1082.4,972.4000000000001,True
10013310,屏東縣,春日鄉,1544,4848,2464,2384,2,1,3,0,250,100,310,0,660,969.6,969.6,True
10013320,屏東縣,獅子鄉,1664,4816,2456,2360,5,1,0,0,180,40,0,0,220,963.2,963.2,True
10014160,臺東縣,蘭嶼鄉,2029,5199,2606,2593,2,0,1,1,600,0,500,100,1100,1039.8,939.8,True
10013330,屏東縣,牡丹鄉,2092,4670,2305,2365,4,1,1,0,1050,304,250,0,1604,934.0,934.0,True
10016050,澎湖縣,望安鄉,2024,5300,2823,2477,0,0,0,1,0,0,0,150,0,1060.0,910.0,True
10004130,新竹縣,五峰鄉,1787,4390,2347,2043,2,2,0,0,150,160,0,0,310,878.0,878.0,True
10014120,臺東縣,海端鄉,1142,4339,2237,2102,4,0,5,0,338,0,480,0,818,867.8,867.8,True
10014110,臺東縣,綠島鄉,1297,4312,2316,1996,4,1,2,0,480,300,260,0,1040,862.4,862.4,True
64000370,高雄市,桃源區,1459,4158,2161,1997,13,0,2,0,4992,0,188,0,5180,831.6,831.6,True
10010170,嘉義縣,大埔鄉,1866,4154,2103,2051,4,7,1,0,207,673,150,0,1030,830.8,830.8,True
