TOWNCODE,COUNTYNAME,TOWNNAME,households,population,male,female,high_count,medium_count,low_count,safe_count,high_capacity,medium_capacity,low_capacity,safe_capacity,risk_capacity,required_safe_capacity,capacity_gap,gap_flag
67000260,臺南市,左鎮區,1783,4094,2329,1765,6,0,0,0,570,0,0,0,570,818.8,818.8,True
10015080,花蓮縣,豐濱鄉,1718,4071,2280,1791,4,2,0,1,0,200,0,0,200,814.2,814.2,True
10005170,苗栗縣,獅潭鄉,1743,3930,2148,1782,13,0,0,0,2680,0,0,0,2680,786.0,786.0,True
65000240,新北市,平溪區,2101,3885,2197,1688,12,0,0,0,2310,0,0,0,2310,777.0,777.0,True
10009160,雲林縣,臺西鄉,8427,20678,11036,9642,2,2,2,6,700,250,450,3380,1400,4135.6,755.6000000000004,True
10014140,臺東縣,金峰鄉,1224,3685,1855,1830,4,2,0,0,400,130,0,0,530,737.0,737.0,True
10016040,澎湖縣,西嶼鄉,3217,8020,4119,3901,0,0,0,9,0,0,0,875,0,1604.0,729.0,True
10014130,臺東縣,延平鄉,1087,3554,1825,1729,4,1,0,0,160,30,0,0,190,710.8,710.8,True
10010110,嘉義縣,鹿草鄉,5892,13415,7298,6117,0,7,0,3,0,1240,0,1980,1240,2683.0,703.0,True
10014150,臺東縣,達仁鄉,1448,3451,1838,1613,10,1,5,0,1060,200,607,0,1867,690.2,690.2,True
67000300,臺南市,龍崎區,1432,3212,1765,1447,2,3,1,0,70,390,30,0,490,642.4,642.4,True
10013270,屏東縣,霧臺鄉,1121,3167,1601,1566,2,1,3,0,280,40,410,0,730,633.4,633.4,True
64000380,高雄市,那瑪夏區,953,3107,1591,1516,2,1,0,0,480,300,0,0,780,621.4,621.4,True
10010180,嘉義縣,阿里山鄉,1843,5170,2691,2479,5,2,0,7,270,190,0,500,460,1034.0,534.0,True
09007020,連江縣,北竿鄉,953,2917,1669,1248,0,0,0,8,0,0,0,100,0,583.4,483.4,True
64000360,高雄市,茂林區,638,1857,910,947,4,2,0,0,570,350,0,0,920,371.4,371.4,True
09007040,連江縣,東引鄉,376,1525,961,564,0,0,0,3,0,0,0,0,0,305.0,305.0,True
09020060,金門縣,烏坵鄉,129,594,307,287,0,0,0,2,0,0,0,50,0,118.8,68.8,True
10010070,嘉義縣,新港鄉,11347,28953,15272,13681,8,2,0,10,3688,1729,0,6930,5417,5790.6,0.0,False
10016060,澎湖縣,七美鄉,1559,3934,1992,1942,0,0,0,10,0,0,0,1639,0,786.8,0.0,False
09007030,連江縣,莒光鄉,372,1553,983,570,0,0,0,5,0,0,0,550,0,310.6,0.0,False
