station_id,station_name,county_name,town_name,twd67_lat,twd67_lon,wgs84_lat,wgs84_lon,distance_m
467990,馬祖,連江縣,南竿鄉,26.171145,119.914855,26.169467,119.923158,849.3540611967667
A2K360,水試臺西試驗場,雲林縣,臺西鄉,23.718974,120.182399,23.717231,120.190522,849.3535554731598
C0V760,橋頭,高雄市,橋頭區,22.759583,120.297694,22.757806,120.30575,849.3463774930544
CAL110,布袋國中,嘉義縣,布袋鎮,23.360676,120.17216,23.35893,120.18026,849.3401296734135
467420,永康,臺南市,永康區,23.040146,120.228623,23.038386,120.2367,849.3386951771465
C0T820,天祥,花蓮縣,秀林鄉,24.181389,121.4875,24.179597,121.495639,849.3147059601916
C0V860,南寮,高雄市,彌陀區,22.763381,120.225866,22.761616,120.233925,849.3138361230033
CAP070,高雄燈塔,高雄市,旗津區,22.616364,120.256631,22.614594,120.26468,849.3067843007722
C0W110,東莒,連江縣,莒光鄉,25.966883,119.9724,25.965197,119.980686,849.3030846104227
CAL090,西濱S257K,嘉義縣,東石鄉,23.504025,120.163753,23.502278,120.171861,849.2873694537055
467410,臺南,臺南市,中西區,22.995039,120.196846,22.99328,120.20492,849.2832813548683
C0F970,大坑,臺中市,北屯區,24.174889,120.714139,24.173142,120.722289,849.2817490196254
A2K570,古坑(花卉中心),雲林縣,古坑鄉,23.6353,120.54428,23.63353,120.55239,849.2707708740081
C0K600,箔子寮,雲林縣,口湖鄉,23.621487,120.13192,23.619744,120.140036,849.2599134466843
CAJ050,海口故事園區,雲林縣,口湖鄉,23.577174,120.133097,23.57543,120.14121,849.2596688756734
CAA990,國一N039K,新北市,泰山區,25.066207,121.373771,25.064433,121.381972,849.2575693363154
C0M880,好美里,嘉義縣,布袋鎮,23.338176,120.129936,23.336427,120.138033,849.2547509990185
C0V880,興達,高雄市,茄萣區,22.879517,120.204681,22.877755,120.212747,849.2491119637195
CAN020,國一S306K,臺南市,麻豆區,23.154587,120.222474,23.152831,120.230558,849.2479519152912
C0V870,文安,高雄市,彌陀區,22.804288,120.208308,22.802525,120.216369,849.2208752452327
C0N040,蘆竹溝,臺南市,北門區,23.236154,120.088035,23.234405,120.096125,849.1754578232221
CAN110,西濱S280K,臺南市,北門區,23.30695,120.140816,23.3052,120.14891,849.1711005038976
C0SA40,瑞和,臺東縣,鹿野鄉,22.976119,121.148625,22.974361,121.156697,849.1710828477793
12J990,口湖工作站,雲林縣,口湖鄉,23.591722,120.172281,23.589978,120.180394,849.1704469964561
C0N010,鯤鯓國小,臺南市,將軍區,23.189624,120.080813,23.187875,120.0889,849.1572506660852
C0K460,斗南,雲林縣,斗南鎮,23.680478,120.470231,23.678725,120.478347,849.1516126362575
C0N050,蚵寮,臺南市,北門區,23.302745,120.102281,23.300997,120.110375,849.1455977944535
CAN130,水試所海水繁養殖中心,臺南市,七股區,23.122553,120.071594,23.120802,120.079676,849.113424288264
C0FB30,八仙山苗圃,臺中市,和平區,24.1944,120.9932,24.192719,121.001366,849.0926736549749
C0N030,四草,臺南市,安南區,23.025295,120.103558,23.023541,120.111633,849.0746388191011
C0N020,城西,臺南市,安南區,23.058558,120.087492,23.056805,120.095569,849.0496862855617
C0SA10,檳榔四格山,臺東縣,卑南鄉,22.811789,121.101247,22.810031,121.109308,849.0484247907592
C0O970,虎頭埤,臺南市,新化區,23.023139,120.339806,23.021375,120.347878,849.0449210876485
CAN120,西濱N304K,臺南市,七股區,23.10519,120.078614,23.103439,120.086694,849.018378509009
C0X260,後壁,臺南市,後壁區,23.368094,120.354211,23.366342,120.362306,848.9511275088227
C0F9P0,清水,臺中市,清水區,24.314028,120.554083,24.312297,120.562242,848.8846428465454
C0K430,褒忠,雲林縣,褒忠鄉,23.692672,120.295503,23.690928,120.303619,848.8473018974042
C0V620,永安,高雄市,永安區,22.824944,120.228806,22.82315,120.236856,848.8056760299412
C0AC80,文山,臺北市,文山區,25.004083,121.567528,25.00235,121.575728,848.5194191580115
C0W200,湖西,澎湖縣,湖西鄉,23.598035,119.664639,23.596314,119.67275,848.3526776472064
C0G860,社頭,彰化縣,社頭鄉,23.899417,120.578083,23.897647,120.5862,848.3333573821403
467300,東吉島,澎湖縣,望安鄉,23.258999,119.659533,23.25727,119.66762,848.2324485784911
C0A970,三貂角,新北市,貢寮區,25.009444,121.993889,25.007606,122.002058,848.1800686421939
C0W160,烏坵,金門縣,烏坵鄉,24.996081,119.441347,24.9944,119.449556,848.1620176799944
CAN150,國一N315K,臺南市,新市區,23.08526,120.24383,23.0835,120.251897,848.0737977094451
C2W230,畜試所澎湖,澎湖縣,西嶼鄉,23.630055,119.505094,23.628342,119.513206,848.0549666560314
467350,澎湖,澎湖縣,馬公市,23.56722,119.554987,23.565503,119.563094,848.0442974936878
C0W120,西嶼,澎湖縣,西嶼鄉,23.564311,119.460328,23.5626,119.468436,848.0114830358523
C0F0A0,雪山圈谷,臺中市,和平區,24.390375,121.228197,24.388594,121.236339,848.0038205894455
C0F9R0,龍井,臺中市,龍井區,24.186278,120.520833,24.184536,120.528972,847.9965763311375
C0U750,龜山島,宜蘭縣,頭城鎮,24.843392,121.944947,24.841667,121.953133,847.9914227348379
C0W190,望安,澎湖縣,望安鄉,23.382282,119.485981,23.380564,119.494075,847.905847772637
C0V640,湖內,高雄市,湖內區,22.888889,120.236444,22.887139,120.2445,847.8896105441837
C0R220,潮州,屏東縣,潮州鎮,22.536139,120.531972,22.534361,120.54,847.8837916080848
C0W180,七美,澎湖縣,七美鄉,23.221053,119.436809,23.219333,119.444892,847.836867646579
C0V790,萬山,高雄市,茂林區,22.907694,120.68,22.905944,120.688056,847.7782719634992
CAD090,國三S103K,新竹市,東區,24.76037,120.952631,24.75861,120.9608,847.7484015338763
C0M650,朴子,嘉義縣,朴子市,23.436364,120.230928,23.434628,120.239019,847.732406313429
C0G770,福興,彰化縣,福興鄉,24.042972,120.429528,24.041289,120.437669,847.6219359057072
C0V750,路竹,高雄市,路竹區,22.856639,120.251361,22.854997,120.259439,847.6065360148222
C0W130,花嶼,澎湖縣,望安鄉,23.401778,119.314667,23.400069,119.322761,847.5624246864562
C0R790,九棚,屏東縣,滿州鄉,22.143756,120.886331,22.142069,120.894356,847.5458957159115
CAH030,茶改場竹圍站,南投縣,名間鄉,23.861844,120.629392,23.86008,120.6375,847.5215153175317
C0U710,太平山,宜蘭縣,大同鄉,24.507222,121.5175,24.505486,121.525656,847.4842954748459
C0E810,西湖,苗栗縣,西湖鄉,24.564417,120.740278,24.562947,120.7485,847.4191376445674
C0F850,東勢,臺中市,東勢區,24.248194,120.824917,24.246428,120.833047,847.3322981779684
