避難收容處所名稱,縣市及鄉鎮市區,經度,緯度,is_indoor,nearest_station,nearest_aqi,distance_km,risk_label
精忠社區活動中心,嘉義市東區,120.4768,23.4916,True,嘉義,86,4.69,Normal
豐山國小室內,嘉義縣阿里山鄉,120.754,23.4924,True,南投（鹿谷）,21,25.5,Normal
瑞良社區活動中心,花蓮縣瑞穗鄉,121.394,23.4924,True,關山,24,55.1,Normal
下埤社區活動中心,嘉義市西區,120.41256,23.49248,True,嘉義,86,4.25,Normal
十字國小室內,嘉義縣阿里山鄉,120.75402,23.492485,True,南投（鹿谷）,21,25.49,Normal
蒜頭國小-室外,嘉義縣六腳鄉,120.291893,23.493083,True,朴子,63,5.45,Normal
花蓮縣瑞穗鄉瑞美國民小學,花蓮縣瑞穗鄉,121.3916,23.4931,True,關山,24,55.06,Normal
嘉北國民小學,嘉義市東區,120.4551,23.4935,True,嘉義,86,3.49,Normal
瑞美社區活動中心,花蓮縣瑞穗鄉,121.3912,23.4937,True,關山,24,55.11,Normal
蒜頭國小活動中心-室內,嘉義縣六腳鄉,120.292893,23.494022,True,朴子,63,5.59,Normal
蒜頭活動中心,嘉義縣六腳鄉,120.290764,23.494055,True,朴子,63,5.42,Normal
奇美社區活動中心,花蓮縣瑞穗鄉,121.4467,23.4942,True,花蓮,22,55.29,Normal
北園國民小學,嘉義市西區,120.42565,23.49452,True,嘉義,86,3.67,Normal
金獅社區活動中心,嘉義縣竹崎鄉,120.5413,23.4946,True,嘉義,86,10.73,Normal
港口宮,嘉義縣東石鄉,120.1864,23.4949,True,朴子,63,7.07,Normal
北園國民中學,嘉義市西區,120.42663,23.49517,True,嘉義,86,3.69,Normal
六腳鄉老人文康中心,嘉義縣六腳鄉,120.2931,23.4952,True,朴子,63,5.69,Normal
春梅社區活動中心,嘉義縣太保市,120.3867,23.4952,True,嘉義,86,6.51,Normal
太保國小[室內],嘉義縣太保市,120.3867,23.4952,True,嘉義,86,6.51,Normal
紅葉社區活動中心,花蓮縣萬榮鄉,121.3446,23.4954,True,關山,24,53.44,Normal
南新國小[室內],嘉義縣太保市,120.3845,23.497,True,嘉義,86,6.81,Normal
南新國小[室外],嘉義縣太保市,120.3845,23.497,True,嘉義,86,6.81,Normal
花蓮縣立瑞穗國民中學,花蓮縣瑞穗鄉,121.3759,23.4982,True,關山,24,54.92,Normal
中和國小[室內],嘉義縣竹崎鄉,120.5344,23.4988,True,嘉義,86,10.23,Normal
中和國小[戶外],嘉義縣竹崎鄉,120.5344,23.4988,True,嘉義,86,10.23,Normal
沙坑國小[戶外],嘉義縣竹崎鄉,120.5344,23.4988,True,嘉義,86,10.23,Normal
頂庄社區活動中心,嘉義市東區,120.4577,23.4991,True,嘉義,86,4.17,Normal
水牛厝社區活動中心,嘉義縣太保市,120.3857,23.4992,True,嘉義,86,6.84,Normal
過溝社區活動中心,嘉義縣太保市,120.3599,23.4996,True,新港,59,6.31,Normal
瑞祥社區活動中心,花蓮縣瑞穗鄉,121.3588,23.4998,True,關山,24,54.41,Normal
瑞穗社區活動中心,花蓮縣瑞穗鄉,121.3787,23.4998,True,關山,24,55.2,Normal
