sitename,county,aqi,distance_from_taipei_km,latitude,longitude,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,siteid
屏東,屏東縣,51,284.03,22.673081,120.488033,懸浮微粒,普通,0.7,0.18,49,33,36,12,5,6.9,1,3,293,2026/03/02 15:00:00,0.2,11.7,31,0,59
潮州,屏東縣,45,297.1,22.523108,120.561175,,良好,0.5,0.15,45,39,32,11,5,6.4,1.3,5.6,285,2026/03/02 15:00:00,0.1,9.8,27,0,60
恆春,屏東縣,24,351.49,21.958069,120.788928,,良好,0.4,0.11,28,26,10,5,0,1.9,0.9,3.7,296,2026/03/02 15:00:00,0.1,5.7,13,0,61
臺東,臺東縣,31,257.62,22.755358,121.15045,,良好,0.9,0.17,34,24,23,11,3,4.5,1.3,2.8,71,2026/03/02 15:00:00,0.1,7.8,18,1,62
花蓮,花蓮縣,28,119.99,23.971306,121.599769,,良好,0.7,0.21,43,30,17,8,3,4.1,1,2.9,69,2026/03/02 15:00:00,0.2,6.7,13,0,63
陽明,臺北市,26,15.06,25.182722,121.529583,,良好,1.1,0.13,17,22,7,7,0,0.9,0.1,,,2026/03/02 15:00:00,0.1,6.5,10,1,64
宜蘭,宜蘭縣,30,40.59,24.747917,121.746394,,良好,1.2,0.24,45,32,23,10,5,6.3,1,1.2,116,2026/03/02 15:00:00,0.2,5.8,13,0,65
冬山,宜蘭縣,40,53.95,24.632203,121.792928,,良好,0.9,0.4,51,33,27,15,6,8,1.8,1.8,118,2026/03/02 15:00:00,0.4,9,24,0,66
三重,新北市,56,3.62,25.072611,121.493806,二氧化氮,普通,1.5,0.47,9,7,32,10,30,64.3,34,-,-,2026/03/02 15:00:00,0.9,10.4,26,1,67
中壢,桃園市,53,31.56,24.953278,121.221667,細懸浮微粒,普通,,,,,22,17,,,,1.3,40,2026/03/02 15:00:00,0.7,13.4,31,0,68
竹山,南投縣,56,166.88,23.756389,120.677306,細懸浮微粒,普通,1.6,0.2,48,28,26,19,4,4.5,0.4,1.7,195,2026/03/02 15:00:00,0.2,14.2,26,1,69
永和,新北市,57,3.43,25.017,121.516306,細懸浮微粒,普通,0.8,0.52,17,10,35,15,21,29.5,8.4,1.2,286,2026/03/02 15:00:00,1,14.6,35,0,70
復興,高雄市,38,297.62,22.608711,120.312017,,良好,0.7,0.14,25,20,19,7,4,7.1,2.5,1.3,256,2026/03/02 15:00:00,0.2,9.3,18,2,71
埔里,南投縣,42,132.21,23.968842,120.967903,,良好,0.9,0.15,31,19,15,5,1,2.5,1,1.3,295,2026/03/02 15:00:00,0.2,10.5,21,1,72
馬祖,連江縣,89,199.32,26.153736,119.952724,細懸浮微粒,普通,1.1,0.41,30,20,32,21,8,11.1,2.2,0.3,91,2026/03/02 15:00:00,0.4,26.3,32,0,75
金門,金門縣,81,330.8,24.432133,118.312256,細懸浮微粒,普通,0.8,0.32,50,25,15,17,7,9.2,1.2,1.8,192,2026/03/02 15:00:00,0.3,23.6,19,0,77
馬公,澎湖縣,29,257.13,23.569031,119.566158,,良好,0.1,0.14,38,31,21,6,1,2.9,1.3,1.9,258,2026/03/02 15:00:00,0.1,6.5,15,0,78
關山,臺東縣,21,225.59,23.045083,121.161933,,良好,0.5,0.14,27,21,9,6,1,2.5,0.7,2.6,31,2026/03/02 15:00:00,0.1,5.2,8,0,80
麥寮,雲林縣,56,192.68,23.753506,120.251825,細懸浮微粒,普通,2.5,0.16,38,25,20,15,7,9.2,2,2.6,300,2026/03/02 15:00:00,0.2,14.2,21,1,83
富貴角,新北市,30,27.76,25.29681695,121.53656894,,良好,0.4,0.11,,32,12,8,1,1.9,0.2,4.1,260,2026/03/02 15:00:00,0.1,7.3,12,0,84
大城,彰化縣,47,183.12,23.85493056,120.26964167,,良好,1.3,0.13,46,30,23,9,3,4.7,1.7,3.1,291,2026/03/02 15:00:00,0.1,11.6,26,0,85
臺灣大道,臺中市,76,131.66,24.1589,120.6567111,細懸浮微粒,普通,1.9,0.53,38,25,29,20,15,27.9,12.3,1.2,288,2026/03/02 15:00:00,0.9,21.5,39,1,88
員林,彰化縣,58,154.6,23.9615945,120.5631893,細懸浮微粒,普通,1.8,0.15,41,30,29,12,3,4.3,1.3,2.6,283,2026/03/02 15:00:00,0.2,15,31,1,139
林森,臺南市,45,264.37,22.98522502,120.22216042,,良好,0.1,0.25,28,24,15,7,5,7.7,2.3,2.4,194,2026/03/02 15:00:00,0.4,11.1,19,1,140
南投（鹿谷）,南投縣,35,164.91,23.71867609,120.7944772,,良好,1.2,0.18,39,30,30,14,3,5.1,1.1,0.5,17,2026/03/02 15:00:00,0.1,8.5,21,1,203
屏東（琉球）,屏東縣,27,321.41,22.35222,120.37722,,良好,0.4,0.11,38,29,14,6,1,3.2,1.5,4,318,2026/03/02 15:00:00,0.1,5.3,13,0,204
新北（樹林）,新北市,46,17.37,24.94902778,121.38352778,,良好,0.7,0.26,30,22,19,16,13,15.7,1.9,0.4,4,2026/03/02 15:00:00,0.3,11.5,16,0,311
屏東（枋山）,屏東縣,38,322.18,22.260899,120.651472,,良好,0.5,0.11,45,34,34,7,1,2.2,0.2,2.5,313,2026/03/02 15:00:00,0.1,6.8,23,0,313
